Categoria,Fundo,Fundo_norm,Data Inicio,Cota (R$),Variacao Dia (%),Acum. Mes (%),Acum. Ano (%),Acum. 12M (%),PL (milhoes R$),Perfil,Perfis,URL,CNPJ,codfundo,Perfil de Risco,Taxa Adm (%),Aplicacao Minima (R$),Conversao Resgate,Pagamento Resgate,doc_lamina,doc_regulamento,doc_inf_comp,doc_comunicado,doc_carta
RENDA FIXA SIMPLES,CAIXA FIF E-SIMPLES RENDA FIXA LP RESP LTDA,CAIXA FIF E-SIMPLES RENDA FIXA LP RESP LTDA,15/10/2015,"2,25289000","0,046","0,83","4,84","12,85","406,209",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fi-renda-fixa-simples-lp/,,,,,,,,,,,,
RENDA FIXA SIMPLES,CAIXA FIC FIF FÁCIL RF SIMPLES RESP LTDA,CAIXA FIC FIF FACIL RF SIMPLES RESP LTDA,24/02/2003,"5,47568800","0,045","0,82","4,75","12,61","6.618,678",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/fundo-simples/fic-facil-rf-simples,05.114.716/0001-33,88,Conservador,1.7,0.01,D+0 (du),D+00 (du),https://www.caixa.gov.br/downloads/aplicacao-financeira-laminas/LA_0088.pdf,https://www.caixa.gov.br/downloads/aplicacao-financeira-regulamentos/RG_0088.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-inf-com/FIC_0088.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-comunicado-aos-cotistas/COM_88.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-carta-mensal/CM_88.pdf
RENDA FIXA SIMPLES,CAIXA FIC FIF MOVIMENTAÇÕES AUTOMÁTICAS RF SIMPLES RESP LTDA,CAIXA FIC FIF MOVIMENTACOES AUTOMATICAS RF SIMPLES RESP LTDA,13/07/2012,"2,76478100","0,045","0,82","4,74","12,60","862,231",PF,PF | PJ,https://www.caixa.gov.br/fundos-investimento/fundo-simples/fic-movimentacoes-automaticas-rf-simples/Paginas/default.aspx,14.508.652/0001-46,5823,Conservador,1.7,10.0,D+0 (du),D+00 (du),https://www.caixa.gov.br/downloads/aplicacao-financeira-laminas/LA_5823.pdf,https://www.caixa.gov.br/downloads/aplicacao-financeira-regulamentos/RG_5823.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-inf-com/FIC_5823.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-comunicado-aos-cotistas/COM_5823.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-carta-mensal/CM_5823.pdf
RENDA FIXA,CAIXA FIC FIF GERAÇÃO JOVEM CRED PRIV RF LP RESP LTDA,CAIXA FIC FIF GERACAO JOVEM CRED PRIV RF LP RESP LTDA,26/04/2012,"3,31629100","0,050","0,97","5,24","14,08","11,610",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-geracao-jovem-rf-credito-privado-longo-prazo,,,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIF RELACIONAMENTO PERSONAL RF LP RESP LTDA,CAIXA FIC FIF RELACIONAMENTO PERSONAL RF LP RESP LTDA,16/04/2012,"3,46989100","0,046","0,96","5,36","14,33","120,029",PF,PF | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-relacionamento-personal-rf-longo-prazo,10.577.509/0001-55,5565,Moderado,0.7,0.01,D+0 (du),D+00 (du),https://www.caixa.gov.br/downloads/aplicacao-financeira-laminas/LA_5565.pdf,https://www.caixa.gov.br/downloads/aplicacao-financeira-regulamentos/RG_5565.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-inf-com/FIC_5565.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-comunicado-aos-cotistas/FR_5565.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-carta-mensal/CM_5565.pdf
RENDA FIXA,CAIXA MASTER PLUS FIF RF CRED PRIV LP RESP LTDA,CAIXA MASTER PLUS FIF RF CRED PRIV LP RESP LTDA,21/01/2021,"1.826,33503800","0,046","1,07","5,39","14,64","97,117",PF,PF | PJ,https://www.caixa.gov.br/fundos-investimento/renda-fixa/caixa-fic-plus-rf-credito-privado-lp/Paginas/default.aspx,40.194.309/0001-84,6532,Moderado,0.7,0.01,D+14 (du),D+15 (du),https://www.caixa.gov.br/downloads/aplicacao-financeira-laminas/LA_6532.pdf,https://www.caixa.gov.br/downloads/aplicacao-financeira-regulamentos/RG_6532.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-inf-com/FIC_6532.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-comunicado-aos-cotistas/COM_6532.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-carta-mensal/CM_6532.pdf
RENDA FIXA,CAIXA FIC FIF IDEAL RF LP RESP LTDA,CAIXA FIC FIF IDEAL RF LP RESP LTDA,28/10/1992,"9,66098400","0,045","0,90","5,02","13,36","586,371",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-ideal-rf-longo-prazo,68.623.479/0001-56,59,Moderado,1.5,0.01,D+0 (du),D+00 (du),https://www.caixa.gov.br/downloads/aplicacao-financeira-laminas/LA_0059.pdf,https://www.caixa.gov.br/downloads/aplicacao-financeira-regulamentos/RG_0059.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-inf-com/FIC_0059.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-comunicado-aos-cotistas/FR_0059.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-carta-mensal/CM_59.pdf
RENDA FIXA,CAIXA FIC FIF E-FUNDO RF LP RESP LTDA,CAIXA FIC FIF E-FUNDO RF LP RESP LTDA,05/10/2012,"3,34015900","0,048","0,96","5,34","14,25","61,213",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/e-fundos/renda-fixa-longo-prazo,15.154.422/0001-99,5834,Moderado,0.7,0.01,D+0 (du),D+00 (du),https://www.caixa.gov.br/downloads/aplicacao-financeira-laminas/LA_5834.pdf,https://www.caixa.gov.br/downloads/aplicacao-financeira-regulamentos/RG_5834.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-inf-com/FIC_5834.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-comunicado-aos-cotistas/FR_5834.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-carta-mensal/CM_5834.pdf
RENDA FIXA,CAIXA FIC FIF EXCLUSIVO FUNC RF CREDITO PRIVADO LP RESP LTDA,CAIXA FIC FIF EXCLUSIVO FUNC RF CREDITO PRIVADO LP RESP LTDA,20/10/2014,"2,98201400","0,053","1,01","5,51","14,83","1.673,521",PF,PF,,,,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIF ABSOLUTO PRE RF LP RESP LTDA,CAIXA FIC FIF ABSOLUTO PRE RF LP RESP LTDA,03/11/1997,"19,85614100","0,017","0,42","3,59","11,59","123,315",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-absoluto-pre-rf-longo-prazo,02.201.164/0001-02,86,Moderado,1.1,0.01,D+0 (du),D+00 (du),https://www.caixa.gov.br/downloads/aplicacao-financeira-laminas/LA_0086.pdf,https://www.caixa.gov.br/downloads/aplicacao-financeira-regulamentos/RG_0086.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-inf-com/FIC_0086.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-comunicado-aos-cotistas/COM_86.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-carta-mensal/CM_86.pdf
