Categoria,Fundo,Fundo_norm,Data Inicio,Cota (R$),Variacao Dia (%),Acum. Mes (%),Acum. Ano (%),Acum. 12M (%),PL (milhoes R$),Perfil,Perfis,URL
RENDA FIXA SIMPLES,CAIXA FIF E-SIMPLES RENDA FIXA LP RESP LTDA,CAIXA FIF E-SIMPLES RENDA FIXA LP RESP LTDA,15/10/2015,"2,24973900","0,046","0,69","4,69","12,86","408,628",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fi-renda-fixa-simples-lp/
RENDA FIXA SIMPLES,CAIXA FIC FIF FÁCIL RF SIMPLES RESP LTDA,CAIXA FIC FIF FACIL RF SIMPLES RESP LTDA,24/02/2003,"5,46819200","0,045","0,68","4,60","12,61","6.679,768",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/fundo-simples/fic-facil-rf-simples
RENDA FIXA SIMPLES,CAIXA FIC FIF MOVIMENTAÇÕES AUTOMÁTICAS RF SIMPLES RESP LTDA,CAIXA FIC FIF MOVIMENTACOES AUTOMATICAS RF SIMPLES RESP LTDA,13/07/2012,"2,76099700","0,045","0,68","4,60","12,61","856,814",PF,PF | PJ,https://www.caixa.gov.br/fundos-investimento/fundo-simples/fic-movimentacoes-automaticas-rf-simples/Paginas/default.aspx
RENDA FIXA,CAIXA FIC FIF GERAÇÃO JOVEM CRED PRIV RF LP RESP LTDA,CAIXA FIC FIF GERACAO JOVEM CRED PRIV RF LP RESP LTDA,26/04/2012,"3,31116900","0,056","0,81","5,08","14,09","11,530",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-geracao-jovem-rf-credito-privado-longo-prazo
RENDA FIXA,CAIXA FIC FIF RELACIONAMENTO PERSONAL RF LP RESP LTDA,CAIXA FIC FIF RELACIONAMENTO PERSONAL RF LP RESP LTDA,16/04/2012,"3,46467000","0,056","0,81","5,20","14,35","120,592",PF,PF | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-relacionamento-personal-rf-longo-prazo
RENDA FIXA,CAIXA MASTER PLUS FIF RF CRED PRIV LP RESP LTDA,CAIXA MASTER PLUS FIF RF CRED PRIV LP RESP LTDA,21/01/2021,"1.823,49721100","0,062","0,92","5,23","14,66","96,563",PF,PF | PJ,https://www.caixa.gov.br/fundos-investimento/renda-fixa/caixa-fic-plus-rf-credito-privado-lp/Paginas/default.aspx
RENDA FIXA,CAIXA FIC FIF IDEAL RF LP RESP LTDA,CAIXA FIC FIF IDEAL RF LP RESP LTDA,28/10/1992,"9,64699500","0,052","0,75","4,87","13,38","585,077",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-ideal-rf-longo-prazo
RENDA FIXA,CAIXA FIC FIF E-FUNDO RF LP RESP LTDA,CAIXA FIC FIF E-FUNDO RF LP RESP LTDA,05/10/2012,"3,33501500","0,055","0,80","5,18","14,26","61,389",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/e-fundos/renda-fixa-longo-prazo
RENDA FIXA,CAIXA FIC FIF EXCLUSIVO FUNC RF CREDITO PRIVADO LP RESP LTDA,CAIXA FIC FIF EXCLUSIVO FUNC RF CREDITO PRIVADO LP RESP LTDA,20/10/2014,"2,97714700","0,059","0,85","5,34","14,83","1.676,948",PF,PF,
RENDA FIXA,CAIXA FIC FIF ABSOLUTO PRE RF LP RESP LTDA,CAIXA FIC FIF ABSOLUTO PRE RF LP RESP LTDA,03/11/1997,"19,80822900","0,093","0,18","3,34","11,89","123,258",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-absoluto-pre-rf-longo-prazo
RENDA FIXA,CAIXA FIC FIF CAPITAL IND PREÇOS RF LP RESP LTDA,CAIXA FIC FIF CAPITAL IND PRECOS RF LP RESP LTDA,03/01/2000,"13,47208900","0,039","0,61","4,76","9,87","28,386",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-capital-indice-de-precos-rf-longo-prazo
RENDA FIXA,CAIXA FIC FIF EMPREENDER RF LP RESP LTDA,CAIXA FIC FIF EMPREENDER RF LP RESP LTDA,26/05/1994,"45,88140800","0,052","0,75","4,86","13,34","40,678",PF,GOV | PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-empreender-rf-longo-prazo/
RENDA FIXA,CAIXA FIC FIF SOBERANO RF LP RESP LTDA,CAIXA FIC FIF SOBERANO RF LP RESP LTDA,11/03/1998,"20,09612300","0,047","0,71","4,77","13,02","64,733",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-soberano-rf-longo-prazo
RENDA FIXA,CAIXA FIC FIF FOCO IND PREÇOS RF LP RESP LTDA,CAIXA FIC FIF FOCO IND PRECOS RF LP RESP LTDA,19/03/2012,"3,13594000","0,044","0,67","5,58","11,02","79,840",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-foco-indice-precos-rf-longo-prazo
RENDA FIXA,CAIXA FIC FIF CLÁSSICO RF LP RESP LTDA,CAIXA FIC FIF CLASSICO RF LP RESP LTDA,24/04/1996,"14,86329500","0,052","0,76","4,89","13,44","27,954",PF,PF | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-classico-rf-longo-prazo
RENDA FIXA,CAIXA FIC FIF DESENVOLVER RF LP RESP LTDA,CAIXA FIC FIF DESENVOLVER RF LP RESP LTDA,18/12/2012,"2,98221400","0,051","0,74","4,75","13,11","1,656",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-desenvolver-rf-longo-prazo/
RENDA FIXA,CAIXA FIC FIF OBJETIVO PRE RF LP RESP LTDA,CAIXA FIC FIF OBJETIVO PRE RF LP RESP LTDA,27/06/2012,"3,30281500","0,098","0,23","3,63","12,41","139,862",PF,PF | PJ,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-objetivo-pre-rf-longo-prazo/Paginas/default.aspx
