Categoria,Fundo,Fundo_norm,Data Inicio,Cota (R$),Variacao Dia (%),Acum. Mes (%),Acum. Ano (%),Acum. 12M (%),PL (milhoes R$),Perfil,Perfis,URL,CNPJ,codfundo,Perfil de Risco,Taxa Adm (%),Aplicacao Minima (R$),Conversao Resgate,Pagamento Resgate,doc_lamina,doc_regulamento,doc_inf_comp,doc_comunicado,doc_carta
RENDA FIXA SIMPLES,CAIXA FIF E-SIMPLES RENDA FIXA LP RESP LTDA,CAIXA FIF E-SIMPLES RENDA FIXA LP RESP LTDA,15/10/2015,"2,24869100","0,046","0,65","4,64","12,86","408,094",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fi-renda-fixa-simples-lp/,,,,,,,,,,,,
RENDA FIXA SIMPLES,CAIXA FIC FIF FÁCIL RF SIMPLES RESP LTDA,CAIXA FIC FIF FACIL RF SIMPLES RESP LTDA,24/02/2003,"5,46569000","0,045","0,64","4,55","12,61","6.673,927",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/fundo-simples/fic-facil-rf-simples,05.114.716/0001-33,88,Conservador,1.7,0.01,D+0 (du),D+00 (du),https://www.caixa.gov.br/downloads/aplicacao-financeira-laminas/LA_0088.pdf,https://www.caixa.gov.br/downloads/aplicacao-financeira-regulamentos/RG_0088.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-inf-com/FIC_0088.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-comunicado-aos-cotistas/COM_88.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-carta-mensal/CM_88.pdf
RENDA FIXA SIMPLES,CAIXA FIC FIF MOVIMENTAÇÕES AUTOMÁTICAS RF SIMPLES RESP LTDA,CAIXA FIC FIF MOVIMENTACOES AUTOMATICAS RF SIMPLES RESP LTDA,13/07/2012,"2,75973400","0,045","0,64","4,55","12,61","878,184",PF,PF | PJ,https://www.caixa.gov.br/fundos-investimento/fundo-simples/fic-movimentacoes-automaticas-rf-simples/Paginas/default.aspx,14.508.652/0001-46,5823,Conservador,1.7,10.0,D+0 (du),D+00 (du),https://www.caixa.gov.br/downloads/aplicacao-financeira-laminas/LA_5823.pdf,https://www.caixa.gov.br/downloads/aplicacao-financeira-regulamentos/RG_5823.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-inf-com/FIC_5823.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-comunicado-aos-cotistas/COM_5823.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-carta-mensal/CM_5823.pdf
RENDA FIXA,CAIXA FIC FIF GERAÇÃO JOVEM CRED PRIV RF LP RESP LTDA,CAIXA FIC FIF GERACAO JOVEM CRED PRIV RF LP RESP LTDA,26/04/2012,"3,30928300","0,052","0,75","5,02","14,07","11,479",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-geracao-jovem-rf-credito-privado-longo-prazo,,,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIF RELACIONAMENTO PERSONAL RF LP RESP LTDA,CAIXA FIC FIF RELACIONAMENTO PERSONAL RF LP RESP LTDA,16/04/2012,"3,46272900","0,051","0,76","5,14","14,34","120,574",PF,PF | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-relacionamento-personal-rf-longo-prazo,10.577.509/0001-55,5565,Moderado,0.7,0.01,D+0 (du),D+00 (du),https://www.caixa.gov.br/downloads/aplicacao-financeira-laminas/LA_5565.pdf,https://www.caixa.gov.br/downloads/aplicacao-financeira-regulamentos/RG_5565.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-inf-com/FIC_5565.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-comunicado-aos-cotistas/FR_5565.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-carta-mensal/CM_5565.pdf
RENDA FIXA,CAIXA MASTER PLUS FIF RF CRED PRIV LP RESP LTDA,CAIXA MASTER PLUS FIF RF CRED PRIV LP RESP LTDA,21/01/2021,"1.822,35847400","0,055","0,85","5,16","14,65","96,489",PF,PF | PJ,https://www.caixa.gov.br/fundos-investimento/renda-fixa/caixa-fic-plus-rf-credito-privado-lp/Paginas/default.aspx,40.194.309/0001-84,6532,Moderado,0.7,0.01,D+14 (du),D+15 (du),https://www.caixa.gov.br/downloads/aplicacao-financeira-laminas/LA_6532.pdf,https://www.caixa.gov.br/downloads/aplicacao-financeira-regulamentos/RG_6532.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-inf-com/FIC_6532.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-comunicado-aos-cotistas/COM_6532.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-carta-mensal/CM_6532.pdf
RENDA FIXA,CAIXA FIC FIF IDEAL RF LP RESP LTDA,CAIXA FIC FIF IDEAL RF LP RESP LTDA,28/10/1992,"9,64194700","0,050","0,70","4,81","13,37","585,015",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-ideal-rf-longo-prazo,68.623.479/0001-56,59,Moderado,1.5,0.01,D+0 (du),D+00 (du),https://www.caixa.gov.br/downloads/aplicacao-financeira-laminas/LA_0059.pdf,https://www.caixa.gov.br/downloads/aplicacao-financeira-regulamentos/RG_0059.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-inf-com/FIC_0059.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-comunicado-aos-cotistas/FR_0059.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-carta-mensal/CM_59.pdf
RENDA FIXA,CAIXA FIC FIF E-FUNDO RF LP RESP LTDA,CAIXA FIC FIF E-FUNDO RF LP RESP LTDA,05/10/2012,"3,33316700","0,053","0,74","5,12","14,26","61,499",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/e-fundos/renda-fixa-longo-prazo,15.154.422/0001-99,5834,Moderado,0.7,0.01,D+0 (du),D+00 (du),https://www.caixa.gov.br/downloads/aplicacao-financeira-laminas/LA_5834.pdf,https://www.caixa.gov.br/downloads/aplicacao-financeira-regulamentos/RG_5834.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-inf-com/FIC_5834.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-comunicado-aos-cotistas/FR_5834.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-carta-mensal/CM_5834.pdf
RENDA FIXA,CAIXA FIC FIF EXCLUSIVO FUNC RF CREDITO PRIVADO LP RESP LTDA,CAIXA FIC FIF EXCLUSIVO FUNC RF CREDITO PRIVADO LP RESP LTDA,20/10/2014,"2,97537800","0,056","0,79","5,28","14,82","1.676,174",PF,PF,,,,,,,,,,,,,
RENDA FIXA,CAIXA FIC FIF ABSOLUTO PRE RF LP RESP LTDA,CAIXA FIC FIF ABSOLUTO PRE RF LP RESP LTDA,03/11/1997,"19,78974300","0,173","0,08","3,25","12,01","123,209",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-absoluto-pre-rf-longo-prazo,02.201.164/0001-02,86,Moderado,1.1,0.01,D+0 (du),D+00 (du),https://www.caixa.gov.br/downloads/aplicacao-financeira-laminas/LA_0086.pdf,https://www.caixa.gov.br/downloads/aplicacao-financeira-regulamentos/RG_0086.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-inf-com/FIC_0086.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-comunicado-aos-cotistas/COM_86.pdf,https://www.caixa.gov.br/Downloads/aplicacao-financeira-carta-mensal/CM_86.pdf
