Categoria,Fundo,Fundo_norm,Data Inicio,Cota (R$),Variacao Dia (%),Acum. Mes (%),Acum. Ano (%),Acum. 12M (%),PL (milhoes R$),Perfil,Perfis,URL,CNPJ,Perfil de Risco,Taxa Adm (%),Aplicacao Minima (R$),Conversao Resgate,Pagamento Resgate
RENDA FIXA,CAIXA FIC FIF SOBERANO RF LP RESP LTDA,CAIXA FIC FIF SOBERANO RF LP RESP LTDA,11/03/1998,"20,05782200","0,047","0,52","4,57","13,02","64,649",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-soberano-rf-longo-prazo,02.323.746/0001-61,Conservador,1.5,50.0,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIC FIF FOCO IND PREÇOS RF LP RESP LTDA,CAIXA FIC FIF FOCO IND PRECOS RF LP RESP LTDA,19/03/2012,"3,12688100","0,138","0,38","5,27","10,62","79,801",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-foco-indice-precos-rf-longo-prazo,09.548.729/0001-71,Moderado,1.0,100.0,D+3 (du),D+03 (du)
RENDA FIXA,CAIXA FIC FIF CLÁSSICO RF LP RESP LTDA,CAIXA FIC FIF CLASSICO RF LP RESP LTDA,24/04/1996,"14,83252100","0,050","0,55","4,67","13,43","27,903",PF,PF | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-classico-rf-longo-prazo,01.165.796/0001-03,Moderado,1.4,100.0,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIC FIF DESENVOLVER RF LP RESP LTDA,CAIXA FIC FIF DESENVOLVER RF LP RESP LTDA,18/12/2012,"2,97621300","0,048","0,53","4,54","13,11","1,653",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-desenvolver-rf-longo-prazo/,16.877.609/0001-83,Moderado,1.3,500.0,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIC FIF OBJETIVO PRE RF LP RESP LTDA,CAIXA FIC FIF OBJETIVO PRE RF LP RESP LTDA,27/06/2012,"3,28286000","0,189","-0,37","3,00","11,90","140,482",PF,PF | PJ,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-objetivo-pre-rf-longo-prazo/Paginas/default.aspx,14.120.511/0001-51,Moderado,0.7,1000.0,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIC FIF OAB RF CRÉD PRIV LP RESP LTDA,CAIXA FIC FIF OAB RF CRED PRIV LP RESP LTDA,23/09/2014,"3,01269400","0,056","0,61","5,10","14,75","1.734,896",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-oab-rf-credito-privado-longo-prazo,14.120.488/0001-03,Moderado,0.4,0.01,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIC FIF EXECUTIVO RF LP RESP LTDA,CAIXA FIC FIF EXECUTIVO RF LP RESP LTDA,02/09/1996,"32,51576800","0,051","0,56","4,80","13,82","2.196,070",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-executivo-rf-longo-prazo,01.165.781/0001-37,Moderado,1.1,1000.0,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIC RELACIONAMENTO IDEAL RF LP,CAIXA FIC RELACIONAMENTO IDEAL RF LP,16/04/2012,"3,27794600","0,051","0,56","4,81","13,84","13,219",PF,PF | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-relacionamento-ideal-rf-longo-prazo,10.577.505/0001-77,Moderado,1.0,1000.0,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIC FIF PERFORMANCE IMA-B RF LP RESP LTDA,CAIXA FIC FIF PERFORMANCE IMA-B RF LP RESP LTDA,02/05/2012,"3,33051200","0,170","-0,24","4,50","9,88","66,680",PF,PF | PJ,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-performance-ima-b-renda-fixa-longo-prazo/Paginas/default.aspx,10.577.516/0001-57,Moderado,0.8,1000.0,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIC FIFINVESTIDOR RF LP RESP LTDA,CAIXA FIC FIFINVESTIDOR RF LP RESP LTDA,01/06/1999,"18,87399600","0,051","0,58","4,92","14,18","957,116",PF,PF | PJ | TODOS,,,,,,,
RENDA FIXA,CAIXA EXPERT ARX IPCA DEB INCENTIVADAS FIC FIF RF CRED PRIV - RESP LTDA,CAIXA EXPERT ARX IPCA DEB INCENTIVADAS FIC FIF RF CRED PRIV - RESP LTDA,01/07/2025,"1,10690359","-0,001","-0,28","2,61","0,00","219,015",PF,PF,https://www.caixa.gov.br/fundos-investimento/renda-fixa/debentures-incentivadas/caixa-expert-arx-ipca-deb-incentivadas-rf-cred-priv-lp/Paginas/default.aspx,60.138.811/0001-85,Moderado,0.3,10000.0,D+14 (du),D+16 (du)
RENDA FIXA,CAIXA FIF FIC EXPERT SULAMERICA RF CRED PRIV LP - RESP LTDA,CAIXA FIF FIC EXPERT SULAMERICA RF CRED PRIV LP - RESP LTDA,26/11/2024,"1,22875500","-0,001","0,67","4,91","14,63","71,020",PF,PF | PJ | RPPS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/debentures-incentivadas/caixa-expert-vinlanddebenture-,58.113.332/0001-62,Moderado,0.3,10000.0,D+13 (du),D+15 (du)
RENDA FIXA,CAIXA FIC FIF PLUS QUALI RF CREDI PRIV LP RESP LTDA,CAIXA FIC FIF PLUS QUALI RF CREDI PRIV LP RESP LTDA,21/01/2021,"1.815,33357400","0,065","0,66","5,05","14,77","175,289",PF,PF | PJ,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-plus-qualificado-rf-credito-privado-longo-prazo/Paginas/default.aspx,,,,,,
RENDA FIXA,CAIXA FIF INFLACAO PRIVATE 2027 RF LONGO PRAZO,CAIXA FIF INFLACAO PRIVATE 2027 RF LONGO PRAZO,15/08/2024,"1,19389700","0,095","0,75","6,23","12,53","40,101",PF,PF | PJ,https://www.caixa.gov.br/fundos-investimento/renda-fixa/caixa-fif-inflacao-2027/Paginas/default.aspx,56.349.290/0001-38,Moderado,0.2,10000.0,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA EXPERT VOX DESENV SUSTENTAVEL IS RF CRED PRIV LP - RESP LTDA,CAIXA EXPERT VOX DESENV SUSTENTAVEL IS RF CRED PRIV LP - RESP LTDA,14/11/2025,"1,02989600","-0,001","0,57","5,03","0,00","21,779",PF,PF | PJ,,63.455.348/0001-93,Moderado,0.17,1000.0,D+5 (du),D+07 (du)
RENDA FIXA,CAIXA EXPERT ABSOLUTE CRETA FIC FIF RF CRED PRIV LP - RESP LTDA,CAIXA EXPERT ABSOLUTE CRETA FIC FIF RF CRED PRIV LP - RESP LTDA,26/03/2025,"1,15649400","-0,001","0,72","4,14","13,74","66,386",PF,PF | PJ | RPPS,,59.861.817/0001-05,Moderado,0.29,10000.0,D+22 (du),D+24 (du)
RENDA FIXA,CAIXA EXPERT RB ASSET CDI DEB INCENTIVADAS FIC FIF RF CRED PRIV RESP LTDA,CAIXA EXPERT RB ASSET CDI DEB INCENTIVADAS FIC FIF RF CRED PRIV RESP LTDA,15/10/2025,"1,05921761","0,129","0,45","2,50","0,00","333,022",PF,PF,https://www.caixa.gov.br/fundos-investimento/renda-fixa/debentures-incentivadas/caixa-expert-rb-asset-deb-incentivadas-cdi-rf-cred-priv/Paginas/default.aspx,62.890.286/0001-85,Moderado,0.3,10000.0,D+14 (du),D+16 (du)
RENDA FIXA,CAIXA EXPERT VINLAND DEB IN INFRA RF CRED PRIV LP RESP LTDA,CAIXA EXPERT VINLAND DEB IN INFRA RF CRED PRIV LP RESP LTDA,08/04/2026,-,-,-,-,-,-,PF,PF,,65.789.297/0001-61,Moderado,,1000.0,D+21 (du),D+23 (du)
RENDA FIXA,CAIXA FIF QUALIFICADO RF CRED PRIV LP - RESP LTDA,CAIXA FIF QUALIFICADO RF CRED PRIV LP - RESP LTDA,01/06/2009,"5,09466900","0,065","0,63","5,08","14,82","860,185",PF,PF | PJ,https://www.caixa.gov.br/fundos-investimento/renda-fixa/caixa-fic-plus-qualificado-rf-credito-privado-lp/Paginas/default.aspx,10.551.353/0001-33,Moderado,0.5,20000.0,D+1 (du),D+04 (du)
RENDA FIXA,CAIXA FIC FIF EXPERTISE RF CRED PRIV LP RESP LTDA,CAIXA FIC FIF EXPERTISE RF CRED PRIV LP RESP LTDA,02/07/2009,"4,90222200","0,057","0,62","5,09","14,74","3.240,628",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-expertise-rf-credito-privado-longo-prazo,10.646.888/0001-98,Moderado,0.5,20000.0,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIC FIF SELEÇÃO RF RESP LTDA,CAIXA FIC FIF SELECAO RF RESP LTDA,01/10/2003,"29,02485300","0,048","0,53","4,66","28,96","21,206",PF,PF | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-selecao-rf-longo-prazo,03.737.207/0001-31,Conservador,1.1,30000.0,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIC FIF PERSONAL RF LP RESP LTDA,CAIXA FIC FIF PERSONAL RF LP RESP LTDA,03/11/1997,"30,35428000","0,052","0,60","5,01","14,47","3.115,478",PF,GOV | PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-personal-rf-longo-prazo,02.201.163/0001-68,Moderado,0.6,50000.0,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIC FIF RENDA FIXA ATIVA LP RESP LTDA,CAIXA FIC FIF RENDA FIXA ATIVA LP RESP LTDA,22/04/2020,"1.758,84767700","0,082","0,43","4,41","13,58","124,785",PF,PF | PJ,https://www.caixa.gov.br/fundos-investimento/renda-fixa/caixa-fic-renda-fixa-ativa-lp/Paginas/default.aspx,35.536.542/0001-68,Moderado,0.4,50000.0,D+0 (du),D+01 (du)
RENDA FIXA,CAIXA INDEXA TESOURO SELIC FIC FIF RF LP - RESP LTDA,CAIXA INDEXA TESOURO SELIC FIC FIF RF LP - RESP LTDA,26/12/2013,"3,19549800","0,053","0,58","5,15","14,74","554,168",PF,PF,https://www.caixa.gov.br/fundos-investimento/voce/renda-fixa/pos-fixados/ate-100.000/caixa-fic-indexa-tesouro-selic-renda-fixa-lp,17.687.735/0001-38,Conservador,0.01,50000.0,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIC FIF SUPREMO RF LP RESP LTDA,CAIXA FIC FIF SUPREMO RF LP RESP LTDA,04/07/2006,"6,13751100","0,051","0,59","4,93","14,22","123,303",PF,PF | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-supremo-rf-longo-prazo,07.986.178/0001-00,Moderado,0.8,70000.0,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIC FIF UNIQUE RF CRED PRIV LP - RL,CAIXA FIC FIF UNIQUE RF CRED PRIV LP - RL,31/07/2024,"1,25812300","0,058","0,63","5,18","14,99","334,883",PF,PF,https://www.caixa.gov.br/fundos-investimento/renda-fixa/caixa-fic-unique-private-cred-priv-lp/Paginas/default.aspx,55.986.292/0001-75,Moderado,0.25,100000.0,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIC FIF ESPECIAL RF LP RESP LTDA,CAIXA FIC FIF ESPECIAL RF LP RESP LTDA,25/08/2003,"10,50456600","0,053","0,60","5,08","14,68","2.379,736",PF,PF | PJ,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-especial-rf-longo-prazo/Paginas/default.aspx,03.737.190/0001-12,Moderado,0.4,100000.0,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIF FIDELIDADE PRIVATE RF LP - RESP LTDA,CAIXA FIF FIDELIDADE PRIVATE RF LP - RESP LTDA,02/07/2008,"5,47049600","0,054","0,60","5,18","14,88","553,638",PF,PF,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fi-fidelidade-private-rf-longo-prazo/Paginas/default.aspx,09.181.287/0001-78,Moderado,0.2,200000.0,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIC FIF MAXI RENDA FIXA CRED PRIV LP - RESP LTDA,CAIXA FIC FIF MAXI RENDA FIXA CRED PRIV LP - RESP LTDA,04/03/2013,"3,53695200","0,057","0,62","5,16","14,97","15.496,701",PF,PF | PJ,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-maxi-rf-credito-privado-longo-prazo/Paginas/default.aspx,17.322.725/0001-07,Moderado,0.3,50000.0,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIF FIDELIDADE II RF CRÉD PRIV LP,CAIXA FIF FIDELIDADE II RF CRED PRIV LP,03/06/2009,"5,25618000","0,065","0,64","5,21","15,20","1.384,319",PF,PF | PJ,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fi-fidelidade-ii-rf-credito-privado-longo-prazo/Paginas/default.aspx,10.322.668/0001-09,Moderado,0.05,1000000.0,D+0 (du),D+00 (du)
RENDA FIXA REFERENCIADO,CAIXA FIC FIF BETA RF REF DI LP RESP LTDA,CAIXA FIC FIF BETA RF REF DI LP RESP LTDA,02/10/1995,"30,10569200","0,047","0,52","4,62","13,21","165,499",PF,PF | TODOS,https://www.caixa.gov.br/fundos-investimento/referenciados/fic-beta-ref-di-lp,00.834.072/0001-34,Conservador,1.5,0.01,D+0 (du),D+00 (du)
RENDA FIXA REFERENCIADO,CAIXA SIGMA FUNCIONARIOS FIC FIF RF REF DI LP - RESP LTDA,CAIXA SIGMA FUNCIONARIOS FIC FIF RF REF DI LP - RESP LTDA,08/04/2026,-,-,-,-,-,-,PF,PF,,66.034.762/0001-17,Conservador,0.2,0.01,D+0 (du),D+00 (du)
RENDA FIXA REFERENCIADO,CAIXA FIC FIF GIRO IMEDIATO RF REF DI LP RESP LTDA,CAIXA FIC FIF GIRO IMEDIATO RF REF DI LP RESP LTDA,03/06/2013,"2,78811100","0,047","0,51","4,56","13,03","5.924,364",PF,PF | TODOS,https://www.caixa.gov.br/fundos-investimento/referenciados/fic-giro-imediato-ref-di-longo-prazo,17.502.869/0001-37,Conservador,1.5,1000.0,D+0 (du),D+00 (du)
RENDA FIXA REFERENCIADO,CAIXA FIC FIF PLENO REF DI LP RESP LTDA,CAIXA FIC FIF PLENO REF DI LP RESP LTDA,14/06/2010,"3,57547900","0,052","0,58","4,97","14,32","2.188,366",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/referenciados/fic-pleno-ref-di-longo-prazo,10.740.508/0001-80,Conservador,0.7,1000.0,D+0 (du),D+00 (du)
RENDA FIXA REFERENCIADO,CAIXA FIC OMEGA REF DI RF LONGO PRAZO,CAIXA FIC OMEGA REF DI RF LONGO PRAZO,13/05/2024,"1,27999600","0,052","0,58","5,12","14,69","66,576",PF,PF,https://www.caixa.gov.br/fundos-investimento/referenciados/fic-omega-ref-di-longo-prazo/Paginas/default.aspx,55.036.101/0001-04,Conservador,0.15,10000.0,D+0 (du),D+00 (du)
RENDA FIXA REFERENCIADO,CAIXA FIC FIF PREFERENCIAL REF DI LP RESP LTDA,CAIXA FIC FIF PREFERENCIAL REF DI LP RESP LTDA,01/10/2003,"9,60521600","0,052","0,59","5,01","14,42","839,055",PF,PF | TODOS,https://www.caixa.gov.br/fundos-investimento/referenciados/fic-preferencial-ref-di-longo-prazo,03.737.211/0001-08,Conservador,0.6,30000.0,D+0 (du),D+00 (du)
RENDA FIXA REFERENCIADO,CAIXA FIC FIF SIGMA RF REF DI LP RESP LTDA,CAIXA FIC FIF SIGMA RF REF DI LP RESP LTDA,01/12/2009,"4,42035900","0,052","0,57","5,07","14,54","15.604,543",PF,GOV | PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/referenciados/fic-sigma-ref-di-longo-prazo,10.731.794/0001-17,Conservador,0.35,5000.0,D+0 (du),D+00 (du)
RENDA FIXA REFERENCIADO,CAIXA FIC FIF RUBI RF REF DI LP RESP LTDA,CAIXA FIC FIF RUBI RF REF DI LP RESP LTDA,15/07/2009,"4,73417400","0,053","0,60","5,12","14,77","9.458,177",PF,GOV | PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/referenciados/fic-rubi-ref-di-longo-prazo/Paginas/default.aspx,10.646.885/0001-54,Conservador,0.3,100000.0,D+0 (du),D+00 (du)
RENDA FIXA REFERENCIADO,CAIXA FIC FIF MEGA RF REFERENC DI LONGO PRAZO - RESP LTDA,CAIXA FIC FIF MEGA RF REFERENC DI LONGO PRAZO - RESP LTDA,03/02/2009,"5,05880200","0,053","0,60","5,14","14,83","20.871,193",PF,PF | PJ,https://www.caixa.gov.br/fundos-investimento/referenciados/fic-mega-ref-di-longo-prazo/Paginas/default.aspx,,,,,,
RENDA FIXA REFERENCIADO,CAIXA FIC FIF TOP PRIVATE RF REF DI LP RESP LTDA,CAIXA FIC FIF TOP PRIVATE RF REF DI LP RESP LTDA,05/05/2014,"3,15949900","0,054","0,61","5,18","14,95","13.180,422",PF,PF | RPPS,https://www.caixa.gov.br/fundos-investimento/referenciados/fic-top-private-ref-di-longo-prazo/Paginas/default.aspx,19.769.018/0001-80,Conservador,0.15,100000.0,D+0 (du),D+00 (du)
RENDA FIXA CURTO PRAZO,CAIXA FIC FIF RENDA FIXA CURTO PRAZO RESP LTDA,CAIXA FIC FIF RENDA FIXA CURTO PRAZO RESP LTDA,14/12/2020,"1.716,23166900","0,051","0,56","4,94","14,20","247,593",PF,PF | PJ,https://www.caixa.gov.br/fundos-investimento/curto-prazo/fic-automatico-polis-rf-cp/Paginas/default.aspx,,,,,,
MULTIMERCADO,CAIXA FIC FIF FOF SMART CRED PRIV MM LP RESP LTDA,CAIXA FIC FIF FOF SMART CRED PRIV MM LP RESP LTDA,30/08/2023,"1,40124000","0,000","0,74","4,65","14,20","68,957",PF,PF | PJ,https://www.caixa.gov.br/fundos-investimento/multimercado/fic-fof-smart-credito-privado-multimercado-longo-prazo/Paginas/default.aspx,51.943.346/0001-64,Moderado,0.4,0.01,D+46 (du),D+48 (du)
MULTIMERCADO,CAIXA FIC MULTIGESTOR GLOBAL EQUITIES IE,CAIXA FIC MULTIGESTOR GLOBAL EQUITIES IE,11/11/2020,"1.184,48070500","-0,003","3,05","-5,60","-1,37","36,286",PF,PF | PJ | RPPS | TODOS,https://www.caixa.gov.br/fundos-investimento/multimercado/caixa-multigestor-global-equities-invest-ext/Paginas/default.aspx,39.528.038/0001-77,Arrojado,1.0,0.01,D+7 (du),D+12 (du)
MULTIMERCADO,CAIXA FIF MULTIMERCADO RV 30 LP RESP LTDA,CAIXA FIF MULTIMERCADO RV 30 LP RESP LTDA,20/06/2000,"12,57805500","0,117","-1,27","5,96","17,33","540,035",PF,PF | PJ | RPPS | TODOS,https://www.caixa.gov.br/fundos-investimento/multimercado/fi-multimercado-rv30-longo-prazo,,,,,,
MULTIMERCADO,CAIXA FIC FIF ESTRATÉGIA LIVRE MULTIMERCADO LP RESP LTDA,CAIXA FIC FIF ESTRATEGIA LIVRE MULTIMERCADO LP RESP LTDA,21/10/2019,"1.629,68841700","0,142","-0,37","4,00","13,03","116,615",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/multimercado/estrategia-livre-mm-lp,34.660.276/0001-18,Moderado,1.5,0.01,D+13 (du),D+15 (du)
MULTIMERCADO,CAIXA FIF INDEXA SHORT DOLAR MM LP RESP LTDA,CAIXA FIF INDEXA SHORT DOLAR MM LP RESP LTDA,26/10/2020,"2.418,57883500","1,196","-0,26","17,74","38,11","13,479",PF,GOV | PF | PJ | RPPS,https://www.caixa.gov.br/fundos-investimento/multimercado/caixa-fi-indexa-short-dolar-mult-lp/Paginas/default.aspx,29.157.511/0001-01,Moderado,0.8,0.01,D+1 (du),D+01 (du)
MULTIMERCADO,CAIXA CARTEIRA QUANT DUO FIC FIF MM LP RESP LTDA,CAIXA CARTEIRA QUANT DUO FIC FIF MM LP RESP LTDA,07/04/2026,-,-,-,-,-,-,PF,PF | PJ,,65.795.043/0001-56,Arrojado,0.8,0.01,D+8 (du),D+10 (du)
MULTIMERCADO,CAIXA FIC FIF FOF SMART LONG SHORT LP RESP LTDA,CAIXA FIC FIF FOF SMART LONG SHORT LP RESP LTDA,18/07/2023,"1,24772700","-0,005","-0,63","2,16","11,12","6,403",PF,PF | PJ,https://www.caixa.gov.br/fundos-investimento/multimercado/caixa-fic-fof-smart-long-short-mm/Paginas/default.aspx,51.408.738/0001-23,Moderado,1.0,0.01,D+24 (du),D+26 (du)
MULTIMERCADO,CAIXA FIC LONG BIAS MM,CAIXA FIC LONG BIAS MM,01/04/2024,"1,12991900","-0,274","-6,62","-2,54","13,70","3,423",PF,PF | PJ,https://www.caixa.gov.br/fundos-investimento/multimercado/caixa-fic-fof-smart-long-bias-mm/Paginas/default.aspx,54.439.846/0001-51,Moderado,2.0,0.01,D+13 (du),D+15 (du)
MULTIMERCADO,CAIXA CARTEIRA QUANT QUALI FIC FIF MM LP RESP LTDA,CAIXA CARTEIRA QUANT QUALI FIC FIF MM LP RESP LTDA,07/04/2026,-,-,-,-,-,-,PF,PF | PJ,,65.795.384/0001-21,Agressivo,0.8,0.01,D+14 (du),D+16 (du)
MULTIMERCADO,CAIXA FIC FIF FOF SMART LONG BIAS MM RESP LTDA,CAIXA FIC FIF FOF SMART LONG BIAS MM RESP LTDA,18/07/2023,"1,43001400","-0,004","-2,63","4,75","19,49","11,883",PF,PF | PJ,https://www.caixa.gov.br/fundos-investimento/multimercado/caixa-fic-fof-smart-long-bias-mm/Paginas/default.aspx,51.408.950/0001-90,Moderado,1.0,0.01,D+24 (du),D+26 (du)
MULTIMERCADO,CAIXA CARTEIRA QUANT UNO FIC FIF MM LP RESP LTDA,CAIXA CARTEIRA QUANT UNO FIC FIF MM LP RESP LTDA,07/04/2026,-,-,-,-,-,-,PF,PF | PJ,,65.794.476/0001-97,Moderado,0.8,0.01,D+1 (du),D+03 (du)
MULTIMERCADO,CAIXA FIF INDEXA EURO MM LONGO PRAZO RESP LTDA,CAIXA FIF INDEXA EURO MM LONGO PRAZO RESP LTDA,01/04/2024,"1,10072200","-0,989","0,28","-8,70","-6,09","3,163",PF,GOV | PF | PJ | RPPS,https://www.caixa.gov.br/fundos-investimento/multimercado/fi-euro-multimercado-longo-prazo/Paginas/default.aspx,54.483.566/0001-40,Arrojado,0.8,0.01,D+1 (du),D+03 (du)
