Categoria,Fundo,Fundo_norm,Data Inicio,Cota (R$),PL (milhoes R$),Perfil,Perfis
RENDA FIXA REFERENCIADO,CAIXA FIC FIF SIGMA RF REF DI LP RESP LTDA,CAIXA FIC FIF SIGMA RF REF DI LP RESP LTDA,01/12/2009,"4,38337300","15.295,628",PF,GOV | PF | PJ | TODOS
RENDA FIXA REFERENCIADO,CAIXA FIC FIF RUBI RF REF DI LP RESP LTDA,CAIXA FIC FIF RUBI RF REF DI LP RESP LTDA,15/07/2009,"4,69203400","9.357,948",PF,GOV | PF | PJ | TODOS
RENDA FIXA REFERENCIADO,CAIXA FIC FIF MEGA RF REFERENC DI LONGO PRAZO - RESP LTDA,CAIXA FIC FIF MEGA RF REFERENC DI LONGO PRAZO - RESP LTDA,03/02/2009,"5,01380100","20.537,391",PF,PF | PJ
RENDA FIXA REFERENCIADO,CAIXA FIC FIF TOP PRIVATE RF REF DI LP RESP LTDA,CAIXA FIC FIF TOP PRIVATE RF REF DI LP RESP LTDA,05/05/2014,"3,13107600","12.548,091",PF,PF | RPPS
RENDA FIXA CURTO PRAZO,CAIXA FIC FIF RENDA FIXA CURTO PRAZO RESP LTDA (8),CAIXA FIC FIF RENDA FIXA CURTO PRAZO RESP LTDA (8),14/12/2020,"1.702,14881900","245,031",PF,PF | PJ
MULTIMERCADO,CAIXA FIC FIF FOF SMART CRED PRIV MM LP RESP LTDA,CAIXA FIC FIF FOF SMART CRED PRIV MM LP RESP LTDA,30/08/2023,"1,38484600","68,208",PF,PF | PJ
MULTIMERCADO,CAIXA FIC MULTIGESTOR GLOBAL EQUITIES IE,CAIXA FIC MULTIGESTOR GLOBAL EQUITIES IE,11/11/2020,"1.154,21482800","35,447",PF,PF | PJ | RPPS | TODOS
MULTIMERCADO,CAIXA FIF MULTIMERCADO RV 30 LP RESP LTDA,CAIXA FIF MULTIMERCADO RV 30 LP RESP LTDA,20/06/2000,"12,78939000","540,035",PF,PF | PJ | RPPS | TODOS
MULTIMERCADO,CAIXA FIC FIF ESTRATÉGIA LIVRE MULTIMERCADO LP RESP LTDA,CAIXA FIC FIF ESTRATEGIA LIVRE MULTIMERCADO LP RESP LTDA,21/10/2019,"1.637,59958900","119,516",PF,PF | PJ | TODOS
MULTIMERCADO,CAIXA FIF INDEXA SHORT DOLAR MM LP RESP LTDA,CAIXA FIF INDEXA SHORT DOLAR MM LP RESP LTDA,26/10/2020,"2.402,35124900","11,477",PF,GOV | PF | PJ | RPPS
MULTIMERCADO,CAIXA CARTEIRA QUANT DUO FIC FIF MM LP RESP LTDA (2) (3),CAIXA CARTEIRA QUANT DUO FIC FIF MM LP RESP LTDA (2) (3),07/04/2026,-,-,PF,PF | PJ
MULTIMERCADO,CAIXA FIC FIF FOF SMART LONG SHORT LP RESP LTDA,CAIXA FIC FIF FOF SMART LONG SHORT LP RESP LTDA,18/07/2023,"1,26259500","6,732",PF,PF | PJ
MULTIMERCADO,CAIXA FIC LONG BIAS MM,CAIXA FIC LONG BIAS MM,01/04/2024,"1,25405900","3,852",PF,PF | PJ
MULTIMERCADO,CAIXA CARTEIRA QUANT QUALI FIC FIF MM LP RESP LTDA (2) (3),CAIXA CARTEIRA QUANT QUALI FIC FIF MM LP RESP LTDA (2) (3),07/04/2026,-,-,PF,PF | PJ
MULTIMERCADO,CAIXA FIC FIF FOF SMART LONG BIAS MM RESP LTDA,CAIXA FIC FIF FOF SMART LONG BIAS MM RESP LTDA,18/07/2023,"1,49260300","12,977",PF,PF | PJ
MULTIMERCADO,CAIXA CARTEIRA QUANT UNO FIC FIF MM LP RESP LTDA (2) (3),CAIXA CARTEIRA QUANT UNO FIC FIF MM LP RESP LTDA (2) (3),07/04/2026,-,-,PF,PF | PJ
MULTIMERCADO,CAIXA FIF INDEXA EURO MM LONGO PRAZO RESP LTDA,CAIXA FIF INDEXA EURO MM LONGO PRAZO RESP LTDA,01/04/2024,"1,09859600","3,336",PF,GOV | PF | PJ | RPPS
MULTIMERCADO,CAIXA FIC FIF ESTRATÉGICO MULTIMERCADO LP RESP LTDA,CAIXA FIC FIF ESTRATEGICO MULTIMERCADO LP RESP LTDA,10/04/2006,"5,33551325","33,408",PF,PF | PJ | TODOS
MULTIMERCADO,CAIXA FIF INDEXA OURO MULTIMERCADO LP RESP LTDA,CAIXA FIF INDEXA OURO MULTIMERCADO LP RESP LTDA,15/02/2013,"4,87529300","701,859",PF,PF | RPPS | TODOS
MULTIMERCADO,CAIXA FIC FIF FOF SMART MULTIESTRATEGIA MM RESP LTDA,CAIXA FIC FIF FOF SMART MULTIESTRATEGIA MM RESP LTDA,09/06/2014,"2,87013800","80,041",PF,PF | PJ | TODOS
MULTIMERCADO,CAIXA FIC FIF HEDGE MULTIMERCADO LONGO PRAZO RESP LTDA,CAIXA FIC FIF HEDGE MULTIMERCADO LONGO PRAZO RESP LTDA,26/10/2020,"1.609,82829300","32,037",PF,GOV | PF | PJ | RPPS | TODOS
MULTIMERCADO,CAIXA FIF INDEXA BOLSA AMERICANA MM LP RESP LTDA,CAIXA FIF INDEXA BOLSA AMERICANA MM LP RESP LTDA,16/10/2018,"3,55976600","2.219,513",PF,GOV | PF | PJ | RPPS | TODOS
MULTIMERCADO,CAIXA FIC FIF JUROS E MOEDAS MM PLUS LP RESP LTDA,CAIXA FIC FIF JUROS E MOEDAS MM PLUS LP RESP LTDA,05/03/2018,"1,88264200","20,454",PF,PF | PJ | TODOS
MULTIMERCADO,CAIXA FIC FIF FUNCIONARIOS ESTRATEGIA LIVRE MULTIMERCADO LP RESP LTDA,CAIXA FIC FIF FUNCIONARIOS ESTRATEGIA LIVRE MULTIMERCADO LP RESP LTDA,06/07/2020,"1.657,13773200","15,667",PF,PF
MULTIMERCADO,CAIXA HASHDEX NASDAQ CRYPTO INDEX FIC FIF MM RESP LTDA (2),CAIXA HASHDEX NASDAQ CRYPTO INDEX FIC FIF MM RESP LTDA (2),07/10/2025,"0,56212604","3,843",PF,PF | PJ
MULTIMERCADO,CAIXA FIC FIF CAPITAL PROTEGIDO CESTA AGRO MM,CAIXA FIC FIF CAPITAL PROTEGIDO CESTA AGRO MM,04/07/2022,"1,40527700","72,133",PF,GOV | PF | PJ | RPPS
MULTIMERCADO,CAIXA CAPITAL PROTEGIDO CÍCLICO III FIC FIF MM LP - RESP LTDA,CAIXA CAPITAL PROTEGIDO CICLICO III FIC FIF MM LP - RESP LTDA,10/01/2022,"1,54886800","13,188",PF,PF | PJ | RPPS
MULTIMERCADO,CAIXA CAPITAL PROTEGIDO IBOVESPA CÍCLICO I FIC FIF MM,CAIXA CAPITAL PROTEGIDO IBOVESPA CICLICO I FIC FIF MM,08/11/2011,"3,21850500","153,360",PF,PF | TODOS
MULTIMERCADO,CAIXA FIC FIM CAPITAL PROTEGIDO CICLICO II LP - RL,CAIXA FIC FIM CAPITAL PROTEGIDO CICLICO II LP - RL,18/07/2022,"1,45937200","189,311",PF,GOV | PF | PJ | RPPS
MULTIMERCADO,CAIXA FIC FIF EXPERT PIMCO INCOME IE MM LP RESP LTDA,CAIXA FIC FIF EXPERT PIMCO INCOME IE MM LP RESP LTDA,21/08/2023,"1,41418000","279,581",PF,PF | PJ | RPPS
MULTIMERCADO,CAIXA EXPERT GIANT ZARATHUSTRA FIC MULTIMERCADO - RESP LTDA,CAIXA EXPERT GIANT ZARATHUSTRA FIC MULTIMERCADO - RESP LTDA,12/02/2021,"1,29071400","14,408",PF,PF | PJ | TODOS
MULTIMERCADO,CAIXA FIC FIF ALOCAÇÃO MACRO MM LONGO PRAZO RESP LTDA,CAIXA FIC FIF ALOCACAO MACRO MM LONGO PRAZO RESP LTDA,01/02/2007,"5,56688000","899,649",PF,PF | PJ | RPPS | TODOS
MULTIMERCADO,CAIXA FIC FIF JUROS E MOEDAS MM LP RESP LTDA,CAIXA FIC FIF JUROS E MOEDAS MM LP RESP LTDA,28/06/2012,"3,60615900","764,925",PF,PF | PJ | RPPS | TODOS
MULTIMERCADO,FIC FIF CAIXA EXPERT BTG PACTUAL X10 MM LP RESP LTDA,FIC FIF CAIXA EXPERT BTG PACTUAL X10 MM LP RESP LTDA,21/03/2013,"6,78042500","131,079",PF,PF | PJ | TODOS
MULTIMERCADO,CAIXA FIC FIF EXPERT SPX NIMITZ MULTIMERCADO RESP LTDA,CAIXA FIC FIF EXPERT SPX NIMITZ MULTIMERCADO RESP LTDA,04/05/2020,"1,75350300","176,602",PF,PF | PJ
CAMBIAL,CAIXA FIC FIF INDEXA DOLAR CAMBIAL RESP LTDA,CAIXA FIC FIF INDEXA DOLAR CAMBIAL RESP LTDA,27/06/2005,"3,70148500","96,075",PF,PF | PJ | TODOS
ACOES,CAIXA FIF AÇÕES DIVIDENDOS RESP LTDA,CAIXA FIF ACOES DIVIDENDOS RESP LTDA,03/10/2003,"7,31803600","377,437",PF,PF | PJ | TODOS
ACOES,CAIXA FIC FIF AÇÕES E-FUNDOS IBOVESPA RESP LTDA,CAIXA FIC FIF ACOES E-FUNDOS IBOVESPA RESP LTDA,05/10/2012,"2,84165600","14,659",PF,GOV | PF | PJ
ACOES,CAIXA ATENA FIC FIF AÇÕES FUNCIONÁRIOS LIVRE QUANT RESP LTDA,CAIXA ATENA FIC FIF ACOES FUNCIONARIOS LIVRE QUANT RESP LTDA,06/07/2020,"2.158,95397000","11,381",PF,PF
ACOES,CAIXA FIF AÇÕES BDR NÍVEL I RESP LTDA,CAIXA FIF ACOES BDR NIVEL I RESP LTDA,24/06/2013,"9,32370600","258,623",PF,PF | PJ | TODOS
ACOES,CAIXA FIF AÇÕES SMALL CAPS ATIVO RESP LTDA,CAIXA FIF ACOES SMALL CAPS ATIVO RESP LTDA,01/11/2012,"1,60417300","488,198",PF,PF | PJ | TODOS
ACOES,CAIXA FIF AÇÕES CONSUMO RESP LTDA,CAIXA FIF ACOES CONSUMO RESP LTDA,26/04/2012,"1,19043400","62,804",PF,PF | PJ | TODOS
ACOES,CAIXA FIF ACOES SUSTENTABILIDADE EMPRESARIAL ISE - IS RESP LTDA,CAIXA FIF ACOES SUSTENTABILIDADE EMPRESARIAL ISE - IS RESP LTDA,05/11/2007,"1,90895900","2,539",PF,PF | PJ | TODOS
ACOES,CAIXA FIF ACOES PETROBRAS PLUS RESP LTDA,CAIXA FIF ACOES PETROBRAS PLUS RESP LTDA,28/06/2019,"5,09397300","88,193",PF,PF | PJ | TODOS
ACOES,CAIXA FIC FIF AÇÕES IBOVESPA RESP LTDA,CAIXA FIC FIF ACOES IBOVESPA RESP LTDA,15/01/1997,"9,53350300","100,214",PF,PF | PJ | TODOS
ACOES,CAIXA FIC FIF AÇÕES MULTIGESTOR RESP LTDA,CAIXA FIC FIF ACOES MULTIGESTOR RESP LTDA,25/06/2019,"1,42460500","328,307",PF,PF | PJ | RPPS | TODOS
