Categoria,Fundo,Fundo_norm,Data Inicio,Cota (R$),Variacao Dia (%),Acum. Mes (%),Acum. Ano (%),Acum. 12M (%),PL (milhoes R$),Perfil,Perfis,URL,CNPJ,Perfil de Risco,Taxa Adm (%),Aplicacao Minima (R$),Conversao Resgate,Pagamento Resgate
ACOES,CAIXA FIF AÇÕES VALE DO RIO DOCE RESP LTDA,CAIXA FIF ACOES VALE DO RIO DOCE RESP LTDA,20/02/2002,"38,83590000","1,198","0,90","12,41","56,62","664,541",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/fundos-de-acoes/fi-acoes-vale-rio-doce,04.885.820/0001-69,Arrojado,2.0,0.01,D+1 (du),D+03 (du)
ACOES,CAIXA FIF ACOES SEGURIDADE RESP LTDA,CAIXA FIF ACOES SEGURIDADE RESP LTDA,03/05/2021,"2,71903500","2,326","1,03","12,24","25,44","454,125",PF,GOV | PF | PJ,https://www.caixa.gov.br/fundos-investimento/fundos-de-acoes/fia-caixa-seguridade/Paginas/default.aspx,30.068.049/0001-47,Arrojado,0.2,0.01,D+1 (du),D+03 (du)
ACOES,CAIXA FIF AÇÕES IBRX ATIVO RESP LTDA,CAIXA FIF ACOES IBRX ATIVO RESP LTDA,12/09/2005,"4,87282400","2,056","-5,22","8,58","25,39","23,637",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/fundos-de-acoes/fi-acoes-ibrx-ativo,05.164.370/0001-88,Arrojado,1.5,0.01,D+1 (du),D+03 (du)
ACOES,CAIXA FIF ACOES INDEXA SETOR FINANCEIRO RESP LTDA,CAIXA FIF ACOES INDEXA SETOR FINANCEIRO RESP LTDA,26/01/2021,"1.514,92425700","2,952","-6,55","4,09","14,11","30,313",PF,GOV | PF | PJ | RPPS | TODOS,https://www.caixa.gov.br/fundos-investimento/fundos-de-acoes/caixa-fia-indexa-setor-financeiro/Paginas/default.aspx,40.209.029/0001-00,Arrojado,0.8,0.01,D+1 (du),D+03 (du)
ACOES,CAIXA FIC FIF ACOES DIVIDENDOS QUANTITATIVO RESP LTDA,CAIXA FIC FIF ACOES DIVIDENDOS QUANTITATIVO RESP LTDA,02/09/2021,"1,97421400","3,117","-3,68","-2,95","10,96","1,811",PF,PF | PJ,https://www.caixa.gov.br/fundos-investimento/fundos-de-acoes/fic-fia-dividendos-quantitativo/Paginas/default.aspx,42.120.405/0001-03,Arrojado,2.0,0.01,D+13 (du),D+15 (du)
ACOES,CAIXA FIF ACOES INDEXA PIBB IBRX 50 RESP LTDA,CAIXA FIF ACOES INDEXA PIBB IBRX 50 RESP LTDA,12/09/2005,"5,98843100","1,686","-5,29","11,32","27,44","44,492",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/fundos-de-acoes/fi-acoes-pibb-sem-opcao-de-venda,05.164.361/0001-97,Arrojado,0.8,0.01,D+1 (du),D+03 (du)
ACOES,CAIXA FIF ACOES IBOVESPA ATIVO RESP LTDA,CAIXA FIF ACOES IBOVESPA ATIVO RESP LTDA,01/02/2007,"2,26435400","2,012","-3,68","7,91","24,39","36,459",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/fundos-de-acoes/fi-acoes-ibovespa-ativo,08.046.355/0001-23,Arrojado,2.0,0.01,D+1 (du),D+03 (du)
ACOES,CAIXA FIF AÇÕES PETROBRÁS RESP LTDA,CAIXA FIF ACOES PETROBRAS RESP LTDA,10/07/2000,"44,48042100","-3,817","-9,17","52,35","55,02","895,431",PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/fundos-de-acoes/fi-acoes-petrobras,03.914.671/0001-56,Arrojado,1.5,0.01,D+1 (du),D+03 (du)
ACOES,CAIXA FIF ACOES INDEXA IAGRO RESP LTDA,CAIXA FIF ACOES INDEXA IAGRO RESP LTDA,14/06/2022,"0,89138100","2,801","-3,00","-7,39","-15,50","3,004",PF,PF | PJ | RPPS,https://www.caixa.gov.br/fundos-investimento/fundos-de-acoes/fia-caixa-indexa-iagro/Paginas/default.aspx,45.443.601/0001-07,Arrojado,0.8,0.01,D+1 (du),D+03 (du)
ACOES,CAIXA FIC FIF ACOES COMPROMISSO BDR NIVEL I RESP LTDA,CAIXA FIC FIF ACOES COMPROMISSO BDR NIVEL I RESP LTDA,05/11/2021,"1,19678200","1,872","-0,04","-1,10","13,12","3,903",PF,PF | PJ | RPPS,http://www.caixa.gov.br/fundos-investimento/fundos-de-acoes/FIA-Institucional-BDR-nivel-I/Paginas/default.aspx,43.760.251/0001-87,Arrojado,1.0,0.01,D+1 (du),D+03 (du)
ACOES,CAIXA SEGURIDADE II FIF ACOES - RESP LTDA,CAIXA SEGURIDADE II FIF ACOES - RESP LTDA,24/03/2025,"1,34335600","2,328","1,02","12,18","25,27","20,000",PF,PF | PJ,https://www.caixa.gov.br/fundos-investimento/fundos-de-acoes/fia-caixa-seguridade/Paginas/default.aspx,59.815.671/0001-53,Arrojado,0.2,0.01,D+1 (du),D+03 (du)
ACOES,CAIXA FIF ACOES ELETROBRAS RESP LTDA,CAIXA FIF ACOES ELETROBRAS RESP LTDA,30/05/2022,"1,86202400","2,189","-11,33","8,31","75,72","270,616",PF,PF | PJ | RPPS,https://www.caixa.gov.br/fundos-investimento/fundos-de-acoes/fia-caixa-eletrobras/Paginas/default.aspx,45.443.475/0001-90,Arrojado,0.45,0.01,D+1 (du),D+03 (du)
ACOES,CAIXA FIC ACOES EXPERT VERDE AM LONG BIAS - RESP LTDA,CAIXA FIC ACOES EXPERT VERDE AM LONG BIAS - RESP LTDA,05/10/2020,-,-,-,-,-,-,PF,PF | PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/fundos-de-acoes/CAIXA-Expert-Verde-Am-Long-Bias-FIC-Acoes/Paginas/default.aspx,30.068.071/0001-97,Arrojado,0.7,10000.0,D+22 (du),D+24 (du)
ACOES,CAIXA EXPERT CLARITAS VALOR FIC FIF AÇÕES - RESP LTDA,CAIXA EXPERT CLARITAS VALOR FIC FIF ACOES - RESP LTDA,19/10/2020,-,-,-,-,-,-,PF,GOV | PF | PJ | RPPS | TODOS,https://www.caixa.gov.br/fundos-investimento/fundos-de-acoes/caixa-expert-claritas-valor-fic-acoes/Paginas/default.aspx,30.068.060/0001-07,Arrojado,0.6,10000.0,D+23 (du),D+25 (du)
FUNDO DE INDICE,CAIXA ETF IBOVESPA FUNDO DE ÍNDICE RESP LTDA,CAIXA ETF IBOVESPA FUNDO DE INDICE RESP LTDA,12/11/2012,"173,00144700","1,730","-5,22","9,78","26,04","43,252",PF,PF | TODOS,https://www.caixa.gov.br/fundos-investimento/fundos-de-indices/etf-ibovespa-fundo-de-indice/,,,,,,
FUNDOS MUTUOS DE PRIVATIZACAO,CAIXA FMP-FGTS ELETROBRAS MIGRACAO,CAIXA FMP-FGTS ELETROBRAS MIGRACAO,09/06/2022,"1,90346500","2,172","-11,28","8,41","76,09","5,174",PF,PF,https://www.caixa.gov.br/fundos-investimento/mutuos-privatizacao/fmp-fgts-eletrobras-migracao,45.443.366/0001-73,Arrojado,0.2,200.0,D+1 (du),D+05 (du)
FUNDOS MUTUOS DE PRIVATIZACAO,CAIXA FMP-FGTS ELETROBRAS RESP LTDA,CAIXA FMP-FGTS ELETROBRAS RESP LTDA,14/06/2022,"1,85673400","2,185","-11,33","8,46","76,20","1.699,797",PF,PF,https://www.caixa.gov.br/fundos-investimento/mutuos-privatizacao/fmp-fgts-eletrobras,45.160.183/0001-40,Arrojado,0.2,200.0,D+1 (du),D+05 (du)
FUNDOS MUTUOS DE PRIVATIZACAO,CAIXA FMP-FGTS PETROBRÁS IV RESP LTDA,CAIXA FMP-FGTS PETROBRAS IV RESP LTDA,17/08/2000,"49,47753300","-3,816","-9,15","52,76","55,92","718,564",PF,PF,https://www.caixa.gov.br/fundos-investimento/mutuos-privatizacao/fmp-fgts-petrobas-4,03.555.959/0001-81,Arrojado,0.95,300.0,D+1 (du),D+05 (du)
FUNDOS MUTUOS DE PRIVATIZACAO,CAIXA FMP-FGTS VALE RIO DOCE II RESP LTDA,CAIXA FMP-FGTS VALE RIO DOCE II RESP LTDA,27/03/2002,"43,02165500","1,203","0,93","12,63","57,48","780,981",PF,PF,http://www.caixa.gov.br/fundos-investimento/mutuos-privatizacao/fmp-fgts-vale-do-rio-doce-2,04.885.824/0001-47,Arrojado,1.4,10000.0,D+1 (du),D+05 (du)
FUNDOS MUTUOS DE PRIVATIZACAO,CAIXA FMP-FGTS CL ABSOLUTO RESP LTDA,CAIXA FMP-FGTS CL ABSOLUTO RESP LTDA,24/08/2001,"16,82967500","3,786","-5,09","-0,21","17,21","116,640",PF,PF,https://www.caixa.gov.br/fundos-investimento/mutuos-privatizacao/fmp-fgts-cl-absoluto,04.602.186/0001-00,Arrojado,1.9,0.01,D+1 (du),D+05 (du)
FUNDOS MUTUOS DE PRIVATIZACAO,CAIXA FMP-FGTS VALE RIO DOCE MIGRAÇÃO RESP LTDA,CAIXA FMP-FGTS VALE RIO DOCE MIGRACAO RESP LTDA,26/02/2002,"36,07689700","1,194","0,89","12,43","56,37","11,803",PF,PF,http://www.caixa.gov.br/fundos-investimento/mutuos-privatizacao/fmp-fgts-vale-do-rio-doce-migracao,04.885.832/0001-93,Arrojado,1.9,0.01,D+1 (du),D+05 (du)
FUNDOS MUTUOS DE PRIVATIZACAO,CAIXA FMP-FGTS PETROBRÁS II RESP LTDA,CAIXA FMP-FGTS PETROBRAS II RESP LTDA,17/08/2000,"43,72069300","-3,821","-9,17","52,49","55,20","622,111",PF,PF,http://www.caixa.gov.br/fundos-investimento/mutuos-privatizacao/fmp-fgts-petrobas-2,03.915.910/0001-92,Arrojado,1.4,0.01,D+1 (du),D+05 (du)
FUNDOS MUTUOS DE PRIVATIZACAO,CAIXA FMP-FGTS VALE RIO DOCE I RESP LTDA,CAIXA FMP-FGTS VALE RIO DOCE I RESP LTDA,27/03/2002,"37,04497900","1,200","0,90","12,42","56,63","467,903",PF,PF,http://www.caixa.gov.br/fundos-investimento/mutuos-privatizacao/fmp-fgts-vale-do-rio-doce-2,04.885.824/0001-47,Arrojado,1.4,10000.0,D+1 (du),D+05 (du)
FUNDOS MUTUOS DE PRIVATIZACAO,CAIXA FMP-FGTS PETROBRÁS III RESP LTDA,CAIXA FMP-FGTS PETROBRAS III RESP LTDA,17/08/2000,"46,48517400","-3,818","-9,15","52,65","55,56","715,726",PF,PF,http://www.caixa.gov.br/fundos-investimento/mutuos-privatizacao/fmp-fgts-petrobas-3,03.915.903/0001-90,Arrojado,1.2,10000.0,D+1 (du),D+05 (du)
RENDA FIXA SIMPLES,CAIXA AZULZINHA FIC FIF RF SIMPLES - RESP LTDA,CAIXA AZULZINHA FIC FIF RF SIMPLES - RESP LTDA,13/06/2025,"1,11916800","0,047","0,61","4,60","0,00","55,647",PJ,PJ,http://site.extra.caixa.gov.br/fundos-investimento/fundo-simples/fic-azulzinha-rf-simples/Paginas/default.aspx,61.160.298/0001-91,Conservador,1.3,0.01,D+0 (du),D+00 (du)
RENDA FIXA SIMPLES,CAIXA FIC FIF AMETISTA CORP RF SIMPLES RESP LTDA,CAIXA FIC FIF AMETISTA CORP RF SIMPLES RESP LTDA,12/07/2023,"1,35063300","0,047","0,61","4,65","13,04","259,442",PJ,PJ,https://www.caixa.gov.br/fundos-investimento/fundo-simples/fic-ametista-corporativo-rf-simples/Paginas/default.aspx,,,,,,
RENDA FIXA,CAIXA FIC FIF EQUILIBRIO MPE RF LP RESP LTDA,CAIXA FIC FIF EQUILIBRIO MPE RF LP RESP LTDA,05/07/2006,"5,85498700","0,050","0,69","4,96","13,97","41,501",PJ,PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/caixa-equilibrio-mpe-rf-lp/,07.986.172/0001-25,Moderado,1.0,1000.0,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIF SAUDE SUPLEMENTAR ANS RF LP - RESP LTDA,CAIXA FIF SAUDE SUPLEMENTAR ANS RF LP - RESP LTDA,15/07/2008,"5,09536000","0,052","0,67","5,18","14,51","789,234",PJ,PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fi-saude-suplementar-anf-rf,09.181.268/0001-41,Conservador,0.35,1000.0,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIC FIF TITULO PUBLICO MPE RF LP RESP LTDA,CAIXA FIC FIF TITULO PUBLICO MPE RF LP RESP LTDA,05/10/2012,"3,20128000","0,051","0,66","5,04","13,82","18,648",PJ,PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/caixa-fic-tp-mpe-rf-lp/,15.154.429/0001-00,Conservador,0.5,1000.0,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIC FIF PATRIMONIO IND.DE PRECOS RF LP RESP LTDA,CAIXA FIC FIF PATRIMONIO IND.DE PRECOS RF LP RESP LTDA,03/01/2000,"23,66721400","0,142","0,57","5,71","11,39","94,669",PJ,PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-patrimonio-indice-precos-rf-longo-prazo,03.191.874/0001-61,Moderado,0.3,100000.0,D+3 (du),D+03 (du)
RENDA FIXA,CAIXA GIRO EMPRESAS FIC FIF RF REF DI LP RESP LTDA,CAIXA GIRO EMPRESAS FIC FIF RF REF DI LP RESP LTDA,27/03/2013,"3,25564800","0,051","0,66","5,08","14,27","7.835,830",PJ,PJ,https://www.caixa.gov.br/fundos-investimento/referenciados/fic-giro-empresas-ref-di-longo-prazo/Paginas/default.aspx,16.916.063/0001-22,Conservador,0.4,500000.0,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIF DIAMANTE CORP RF CRED PRIV LP - RESP LTDA,CAIXA FIF DIAMANTE CORP RF CRED PRIV LP - RESP LTDA,06/11/2019,"1.875,19334500","0,055","0,76","5,34","15,12","15.313,366",PJ,PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/empresa/renda-fixa/credito-privado/caixa-fi-diamante-corporativo-rf-cred-priv-lp,29.157.520/0001-94,Conservador,0.12,1000000.0,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIF SAFIRA CORPORATIVO RF LP - RESP LTDA,CAIXA FIF SAFIRA CORPORATIVO RF LP - RESP LTDA,11/05/2009,"4,85296300","0,061","0,68","5,25","14,75","3.070,621",PJ,PJ,https://www.caixa.gov.br/fundos-investimento/renda-fixa/referenciados/fi-safira-corporativo-rf-lp,10.384.413/0001-70,Conservador,0.1,1000000.0,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIC INST SOBERANO PLUS RF,CAIXA FIC INST SOBERANO PLUS RF,21/10/2022,"1,54075600","0,052","0,68","5,25","14,76","339,824",PJ,PJ,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-institucional-soberano-plus-rf-lp/Paginas/default.aspx,42.196.029/0001-30,Moderado,0.1,5000000.0,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIF SAUDE SUPLEMENTAR ANS II RF LP - RESP LTDA,CAIXA FIF SAUDE SUPLEMENTAR ANS II RF LP - RESP LTDA,04/12/2008,"5,09668800","0,053","0,69","5,28","14,80","284,084",PJ,PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fi-saude-suplementar-ans-ii-rf-longo-prazo,09.548.725/0001-93,Conservador,0.07,10000000.0,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIF CNI RF LP - RESP LTDA,CAIXA FIF CNI RF LP - RESP LTDA,26/01/2005,"8,66379100","0,062","0,68","5,20","14,72","3.992,325",PJ,PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/empresa/renda-fixa/fi-cni-rf-longo-prazo/Paginas/default.aspx,05.164.366/0001-10,Moderado,0.07,1.0,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIF SEBRAE RF LP RESP LTDA,CAIXA FIF SEBRAE RF LP RESP LTDA,22/12/2000,"17,82024600","0,061","0,68","5,25","14,81","4.804,684",PJ,PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/empresa/renda-fixa/fi-sebrae-rf-longo-prazo/Paginas/default.aspx,03.737.227/0001-02,Moderado,,0.01,D+0 (du),D+01 (du)
RENDA FIXA REFERENCIADO,CAIXA FIC FIF GIRO MPE REF DI LP RESP LTDA,CAIXA FIC FIF GIRO MPE REF DI LP RESP LTDA,09/09/2013,"2,81126200","0,048","0,62","4,74","13,26","13.566,613",PJ,PJ,https://www.caixa.gov.br/fundos-investimento/referenciados/fic-giro-mpe-ref-di-longo-prazo/Paginas/default.aspx,10.551.370/0001-70,Conservador,1.3,1000.0,D+0 (du),D+00 (du)
RENDA FIXA REFERENCIADO,CAIXA FIF TOPAZIO CORP RF REFERENC DI - RESP LTDA,CAIXA FIF TOPAZIO CORP RF REFERENC DI - RESP LTDA,22/06/2010,"4,40457400","0,054","0,69","5,29","14,84","12.375,346",PJ,GOV | PJ | RPPS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/referenciados/fic-topazio-rf-ref-di-lp/Paginas/default.aspx,11.061.230/0001-87,Conservador,0.1,1000000.0,D+0 (du),D+00 (du)
RENDA FIXA REFERENCIADO,CAIXA FIC ESMERALDA CORP RF REF DI CRED PRIV LP - RESP LTDA,CAIXA FIC ESMERALDA CORP RF REF DI CRED PRIV LP - RESP LTDA,03/11/2023,"1,36662300","0,052","0,70","5,34","15,06","3.666,369",PJ,PJ,https://www.caixa.gov.br/fundos-investimento/referenciados/fic-esmeralda-corp-ref-di/Paginas/default.aspx,52.699.555/0001-77,Conservador,0.12,1000000.0,D+0 (du),D+00 (du)
RENDA FIXA CURTO PRAZO,CAIXA FIC FIF TURQUESA CORPORATIVO RF CP RESP LTDA,CAIXA FIC FIF TURQUESA CORPORATIVO RF CP RESP LTDA,01/10/2020,"1.763,03462300","0,052","0,68","5,20","14,65","1.430,664",PJ,PJ | TODOS,https://www.caixa.gov.br/fundos-investimento/voce/renda-fixa/fic-turquesa-corporativo-curto-prazo,30.068.141/0001-07,Conservador,0.1,3000000.0,D+0 (du),D+00 (du)
RENDA FIXA CURTO PRAZO,CAIXA FIC FIF AUTOMATICO POLIS RF CURTO PRAZO RESP LTDA,CAIXA FIC FIF AUTOMATICO POLIS RF CURTO PRAZO RESP LTDA,13/06/2023,"1,30231400","0,043","0,56","4,25","11,61","33.953,808",GOV,GOV,https://www.caixa.gov.br/fundos-investimento/curto-prazo/fic-automatico-polis-rf-cp/Paginas/default.aspx,50.803.936/0001-29,Conservador,1.7,0.01,D+0 (du),D+00 (du)
RENDA FIXA CURTO PRAZO,CAIXA FIC FIF PRÁTICO RF CURTO PRAZO RESP LTDA,CAIXA FIC FIF PRATICO RF CURTO PRAZO RESP LTDA,02/10/1995,"9,35977100","0,046","0,60","4,56","12,50","2.916,225",GOV,GOV | TODOS,https://www.caixa.gov.br/fundos-investimento/curto-prazo/fic-pratico-curto-prazo,00.834.074/0001-23,Conservador,1.7,0.01,D+0 (du),D+00 (du)
RENDA FIXA CURTO PRAZO,CAIXA FIC FIF TRANSFERÊNCIA VOLUNTÁRIA RF CP RESP LTDA,CAIXA FIC FIF TRANSFERENCIA VOLUNTARIA RF CP RESP LTDA,16/10/2012,"2,46500500","0,046","0,59","4,56","12,50","15.132,079",GOV,GOV | TODOS,https://www.caixa.gov.br/fundos-investimento/curto-prazo/fic-transferencias-voluntarias-curto-prazo,,,,,,
RENDA FIXA,CAIXA FIF BRASIL MATRIZ RF RESP LTDA,CAIXA FIF BRASIL MATRIZ RF RESP LTDA,17/12/2015,"2,59243400","0,059","0,72","5,26","14,81","9.333,484",RPPS,RPPS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fi-brasil-matriz-rf/Paginas/default.aspx,23.215.008/0001-70,Conservador,0.2,0.01,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIC FIF BRASIL GESTÃO ESTRATÉGICA RF RESP LTDA,CAIXA FIC FIF BRASIL GESTAO ESTRATEGICA RF RESP LTDA,04/11/2016,"2,39502700","0,340","0,36","3,99","12,43","3.769,405",RPPS,RPPS | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/caixa-fic-brasil-gestao-estrategica-rf,23.215.097/0001-55,Moderado,0.4,0.01,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA BRASIL INFLAÇÃO ATIVA FIF RF CRED PRIV RESP LTDA,CAIXA BRASIL INFLACAO ATIVA FIF RF CRED PRIV RESP LTDA,17/04/2015,"2,97646000","0,160","0,59","5,54","11,43","41,678",RPPS,RPPS | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/brasil-IPCA,21.918.896/0001-62,Moderado,0.2,0.01,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIC FIF BRASIL RENDA FIXA ATIVA LP RESP LTDA,CAIXA FIC FIF BRASIL RENDA FIXA ATIVA LP RESP LTDA,15/04/2020,"1.635,30747600","0,186","0,53","4,19","11,21","458,730",RPPS,RPPS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/brasil-IPCA/Paginas/default.aspx,35.536.532/0001-22,Moderado,0.4,0.01,D+0 (du),D+01 (du)
RENDA FIXA,CAIXA FI BRASIL IRF-M 1 TP RF,CAIXA FI BRASIL IRF-M 1 TP RF,28/05/2010,"4,45461800","0,084","0,69","4,98","14,25","11.083,199",RPPS,RPPS | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fi-brasil-irfm-1-titulos-publicos-rf,14.508.605/0001-00,Conservador,0.2,0.01,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIF BRASIL IDKA IPCA 2A TIT PUB RF LP RESP LTDA,CAIXA FIF BRASIL IDKA IPCA 2A TIT PUB RF LP RESP LTDA,16/08/2012,"3,80968400","0,157","0,68","5,83","11,78","2.967,990",RPPS,RPPS | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fi-brasil-idka-ipca-2a-rf-longo-prazo,,,,,,
RENDA FIXA,CAIXA FIF BRASIL IRF-M TP RF LP - RESP LTDA,CAIXA FIF BRASIL IRF-M TP RF LP - RESP LTDA,16/08/2012,"3,61394200","0,462","-0,01","3,52","12,69","1.733,233",RPPS,RPPS | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/brasil-irf-m-titulos-publicos-renda-fixa-longo-prazo,14.508.605/0001-00,Conservador,0.2,0.01,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FI BRASIL IMA-B TP RF LP,CAIXA FI BRASIL IMA-B TP RF LP,08/03/2010,"5,13246600","0,171","-0,37","4,38","9,81","2.560,830",RPPS,RPPS | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fi-brasil-ima-b-titulos-rf-longo-prazo,10.577.503/0001-88,Moderado,0.2,0.01,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIF BRASIL IMA-B 5 TP RF LP - RESP LTDA,CAIXA FIF BRASIL IMA-B 5 TP RF LP - RESP LTDA,09/07/2010,"5,16358400","0,142","0,58","5,77","11,57","5.445,155",RPPS,RPPS | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fi-brasil-ima-b-5-titulos-publicos-rf-longo-prazo,10.577.503/0001-88,Moderado,0.2,0.01,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIF BRASIL IMA GERAL TP RF LP - RESP LTDA,CAIXA FIF BRASIL IMA GERAL TP RF LP - RESP LTDA,08/07/2010,"4,72426000","0,173","0,27","4,66","13,08","513,753",RPPS,RPPS | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fi-brasil-ima-geral-tp-rf-longo-prazo,11.061.217/0001-28,Moderado,0.2,0.01,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIF RS TITULOS PUBLICOS RF LP - RESP LTDA,CAIXA FIF RS TITULOS PUBLICOS RF LP - RESP LTDA,18/07/2005,"7,90550900","0,064","0,68","5,21","14,60","166,555",RPPS,RPPS | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fi-rs-titulos-publicos-rf-longo-prazo,,,,,,
RENDA FIXA,CAIXA FIF BRASIL IMA-B 5+ TP RF LP - RESP LTDA,CAIXA FIF BRASIL IMA-B 5+ TP RF LP - RESP LTDA,18/04/2012,"3,44574300","0,209","-1,10","3,28","8,45","822,485",RPPS,RPPS | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fi-brasil-ima-b-5_mais-titulos-publicos-rf-lp/Paginas/default.aspx,10.577.503/0001-88,Moderado,0.2,0.01,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FI BRASIL IRF-M 1+ TP RF LP,CAIXA FI BRASIL IRF-M 1+ TP RF LP,11/05/2012,"3,74554900","0,611","-0,28","2,99","12,08","716,984",RPPS,RPPS | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fi-brasil-irfm-1-titulos-publicos-rf-longo-prazo/,14.508.605/0001-00,Conservador,0.2,0.01,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIF BRASIL TITULOS PUBLICOS RF LP - RESP LTDA,CAIXA FIF BRASIL TITULOS PUBLICOS RF LP - RESP LTDA,10/02/2006,"7,13459000","0,058","0,68","5,23","14,67","12.881,048",RPPS,RPPS | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fi-brasil-titulos-publicos-rf-longo-prazo,05.164.356/0001-84,Conservador,0.2,0.01,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIF ALIANÇA TP RF CURTO PRAZO - RESP LTDA,CAIXA FIF ALIANCA TP RF CURTO PRAZO - RESP LTDA,01/11/2005,"7,45141800","0,052","0,68","5,17","14,55","5.070,946",RPPS,RPPS | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-alianca-rf,05.164.358/0001-73,Conservador,0.2,0.01,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIC FIF BRASIL IDKA PRE 2A RF LP RESP LTDA,CAIXA FIC FIF BRASIL IDKA PRE 2A RF LP RESP LTDA,21/09/2022,"1,44138200","0,411","0,37","3,37","12,18","172,083",RPPS,RPPS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-caixa-brasil-idka-pre2a-rf-lp/Paginas/default.aspx,45.163.710/0001-70,Moderado,0.2,0.01,D+0 (du),D+00 (du)
RENDA FIXA,CAIXA FIC FIF BRASIL DISPONIBILIDADES SIMPLES RF RESP LTDA,CAIXA FIC FIF BRASIL DISPONIBILIDADES SIMPLES RF RESP LTDA,30/08/2012,"3,12316000","0,050","0,64","4,91","13,67","1.834,399",RPPS,RPPS | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/brasil-disponibilidades,14.508.643/0001-55,Conservador,0.8,100.0,D+0 (du),D+00 (du)
RENDA FIXA REFERENCIADO,CAIXA FIC FIF BRASIL RF REFER DI LONGO PRAZO RESP LTDA,CAIXA FIC FIF BRASIL RF REFER DI LONGO PRAZO RESP LTDA,05/07/2006,"6,68165700","0,054","0,72","5,28","14,85","24.576,641",RPPS,RPPS | TODOS,https://www.caixa.gov.br/fundos-investimento/referenciados/fi-brasil-ref-di-longo-prazo,,,,,,
RENDA FIXA REFERENCIADO,CAIXA FIC FIF NOVO BRASIL RF IMA-B LP RESP LTDA,CAIXA FIC FIF NOVO BRASIL RF IMA-B LP RESP LTDA,27/10/2009,"5,50009600","0,182","-0,31","4,64","10,31","596,643",RPPS,RPPS | TODOS,https://www.caixa.gov.br/fundos-investimento/renda-fixa/fic-novo-brasil-ima-b-rf-longo-prazo,10.646.895/0001-90,Moderado,0.2,0.01,D+0 (du),D+00 (du)
